Fuel,Metering Arrangement,Charge Type,Payment Method,Region,Period,Cost Value
Electricity,Single-Rate,Standing Charge,DD,North West,October 2022 - December 2022,150.38
Electricity,Single-Rate,Standing Charge,DD,North West,January 2023 - March 2023,150.38
Electricity,Single-Rate,Standing Charge,DD,North West,April 2023 - June 2023,178.73
Electricity,Single-Rate,Standing Charge,DD,North West,July 2023 - September 2023,178.73
Electricity,Single-Rate,Standing Charge,DD,North West,October 2023 - December 2023,180.11
Electricity,Single-Rate,Standing Charge,DD,North West,January 2024 - March 2024,180.05
Electricity,Single-Rate,Standing Charge,DD,North West,April 2024 - June 2024,177.9337244136673
Electricity,Single-Rate,Standing Charge,DD,North West,July 2024 - September 2024,177.9443375371971
Electricity,Single-Rate,Standing Charge,DD,North West,October 2024 - December 2024,180.8946344346612
Electricity,Single-Rate,Standing Charge,DD,North West,January 2025 - March 2025,180.85897059414523
Electricity,Single-Rate,Standing Charge,DD,North West,April 2025 - June 2025,178.35615953444247
Electricity,Single-Rate,Standing Charge,DD,North West,July 2025 - September 2025,169.81459752543358
Electricity,Single-Rate,Standing Charge,DD,North West,October 2025 - December 2025,177.83051500278225
Electricity,Single-Rate,Standing Charge,DD,North West,January 2026 - March 2026,181.5362043251919
Electricity,Single-Rate,Standing Charge,DD,North West,April 2026 - June 2026,165.55888342971434
Electricity,Single-Rate,Standing Charge,DD,North West,July 2026 - September 2026,165.49650358714788
Electricity,Single-Rate,Standing Charge,DD,Northern,October 2022 - December 2022,173.57
Electricity,Single-Rate,Standing Charge,DD,Northern,January 2023 - March 2023,173.57
Electricity,Single-Rate,Standing Charge,DD,Northern,April 2023 - June 2023,198.25
Electricity,Single-Rate,Standing Charge,DD,Northern,July 2023 - September 2023,198.25
Electricity,Single-Rate,Standing Charge,DD,Northern,October 2023 - December 2023,199.73
Electricity,Single-Rate,Standing Charge,DD,Northern,January 2024 - March 2024,199.66
Electricity,Single-Rate,Standing Charge,DD,Northern,April 2024 - June 2024,247.51537867174977
Electricity,Single-Rate,Standing Charge,DD,Northern,July 2024 - September 2024,247.58442289693943
Electricity,Single-Rate,Standing Charge,DD,Northern,October 2024 - December 2024,250.6440385339859
Electricity,Single-Rate,Standing Charge,DD,Northern,January 2025 - March 2025,250.6019474886698
Electricity,Single-Rate,Standing Charge,DD,Northern,April 2025 - June 2025,207.99185291395605
Electricity,Single-Rate,Standing Charge,DD,Northern,July 2025 - September 2025,200.08820200438683
Electricity,Single-Rate,Standing Charge,DD,Northern,October 2025 - December 2025,208.09801857142855
Electricity,Single-Rate,Standing Charge,DD,Northern,January 2026 - March 2026,211.82102319192688
Electricity,Single-Rate,Standing Charge,DD,Northern,April 2026 - June 2026,223.5145246018635
Electricity,Single-Rate,Standing Charge,DD,Northern,July 2026 - September 2026,223.47533965847128
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,October 2022 - December 2022,172.23
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,January 2023 - March 2023,172.23
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,April 2023 - June 2023,193.28
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,July 2023 - September 2023,193.28
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,October 2023 - December 2023,194.75
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,January 2024 - March 2024,194.67
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,April 2024 - June 2024,234.422314565921
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,July 2024 - September 2024,234.48201709808933
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,October 2024 - December 2024,237.4851603558866
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,January 2025 - March 2025,237.44113416920513
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,April 2025 - June 2025,203.82923417264072
